[2.22555, -1.13636, 1.14791, -1.58234, -1.5708, -2.48684]
[2.22444, -1.13417, 1.14472, -1.58134, -1.5708, -2.48795]
[2.22332, -1.13198, 1.14152, -1.58034, -1.5708, -2.48907]
[2.22221, -1.12978, 1.1383, -1.57932, -1.5708, -2.49017]
[2.22111, -1.12757, 1.13507, -1.5783, -1.5708, -2.49128]
[2.22, -1.12536, 1.13183, -1.57727, -1.5708, -2.49238]
[2.2189, -1.12314, 1.12857, -1.57623, -1.5708, -2.49349]
[2.21781, -1.12091, 1.1253, -1.57518, -1.5708, -2.49458]
[2.21671, -1.11868, 1.12201, -1.57413, -1.5708, -2.49568]
[2.21562, -1.11644, 1.11871, -1.57307, -1.5708, -2.49677]
[2.21453, -1.1142, 1.1154, -1.572, -1.5708, -2.49786]
[2.21345, -1.11194, 1.11207, -1.57092, -1.5708, -2.49894]
[2.21236, -1.10969, 1.10872, -1.56983, -1.5708, -2.50003]
[2.21128, -1.10742, 1.10536, -1.56874, -1.5708, -2.50111]
[2.21021, -1.10515, 1.10199, -1.56763, -1.5708, -2.50218]
[2.20913, -1.10287, 1.0986, -1.56652, -1.5708, -2.50326]
[2.20808, -1.10062, 1.09524, -1.56542, -1.5708, -2.50431]
[2.20706, -1.09843, 1.09198, -1.56434, -1.5708, -2.50533]
[2.20607, -1.09631, 1.08881, -1.5633, -1.5708, -2.50632]
[2.20512, -1.09425, 1.08572, -1.56227, -1.5708, -2.50727]
[2.20421, -1.09225, 1.08273, -1.56128, -1.5708, -2.50818]
[2.20333, -1.09032, 1.07984, -1.56031, -1.5708, -2.50906]
[2.20248, -1.08845, 1.07704, -1.55938, -1.5708, -2.50991]
[2.20167, -1.08665, 1.07433, -1.55847, -1.5708, -2.51072]
[2.20088, -1.08492, 1.07172, -1.5576, -1.5708, -2.5115]
[2.20014, -1.08326, 1.06921, -1.55675, -1.5708, -2.51225]
[2.19942, -1.08166, 1.0668, -1.55594, -1.5708, -2.51297]
[2.19874, -1.08013, 1.06449, -1.55516, -1.5708, -2.51365]
[2.19809, -1.07866, 1.06228, -1.55441, -1.5708, -2.51429]
[2.19748, -1.07727, 1.06017, -1.5537, -1.5708, -2.51491]
[2.1969, -1.07594, 1.05816, -1.55301, -1.5708, -2.51549]
[2.19635, -1.07469, 1.05626, -1.55237, -1.5708, -2.51604]
[2.19583, -1.0735, 1.05446, -1.55176, -1.5708, -2.51656]
[2.19534, -1.07239, 1.05277, -1.55118, -1.5708, -2.51705]
[2.19489, -1.07134, 1.05118, -1.55064, -1.5708, -2.5175]
[2.19446, -1.07037, 1.0497, -1.55013, -1.5708, -2.51793]
[2.19407, -1.06946, 1.04833, -1.54966, -1.5708, -2.51832]
[2.19371, -1.06863, 1.04706, -1.54923, -1.5708, -2.51868]
[2.19339, -1.06787, 1.04591, -1.54883, -1.5708, -2.519]
[2.19309, -1.06718, 1.04486, -1.54847, -1.5708, -2.5193]
[2.19282, -1.06657, 1.04392, -1.54815, -1.5708, -2.51956]
[2.19259, -1.06602, 1.04309, -1.54786, -1.5708, -2.5198]
[2.19239, -1.06555, 1.04237, -1.54761, -1.5708, -2.52]
[2.19222, -1.06515, 1.04176, -1.5474, -1.5708, -2.52017]
[2.19208, -1.06482, 1.04126, -1.54723, -1.5708, -2.52031]
[2.19197, -1.06457, 1.04087, -1.5471, -1.5708, -2.52042]
[2.19189, -1.06439, 1.04059, -1.547, -1.5708, -2.5205]
[2.19184, -1.06428, 1.04043, -1.54694, -1.5708, -2.52054]
[2.19183, -1.06424, 1.04037, -1.54693, -1.5708, -2.52056]
[2.19104, -1.06202, 1.03697, -1.54575, -1.5708, -2.52135]
[2.19043, -1.05966, 1.03337, -1.54451, -1.5708, -2.52196]
[2.1901, -1.0578, 1.03053, -1.54352, -1.5708, -2.52229]
[2.18973, -1.05375, 1.02431, -1.54136, -1.5708, -2.52266]
[2.18971, -1.05169, 1.02115, -1.54025, -1.5708, -2.52268]
[2.19001, -1.04717, 1.01419, -1.53781, -1.5708, -2.52238]
[2.1903, -1.04509, 1.01098, -1.53668, -1.5708, -2.52209]
[2.19123, -1.04079, 1.00433, -1.53434, -1.5708, -2.52116]
[2.19181, -1.03886, 1.00135, -1.53328, -1.5708, -2.52058]
[2.19262, -1.03669, 0.997965, -1.53208, -1.5708, -2.51977]
[2.19391, -1.03377, 0.993429, -1.53046, -1.5708, -2.51847]
[2.19394, -1.03373, 0.993372, -1.53044, -1.5708, -2.51845]
[2.194, -1.03362, 0.9932, -1.53038, -1.5708, -2.51839]
[2.19411, -1.03343, 0.992914, -1.53028, -1.5708, -2.51828]
[2.19426, -1.03318, 0.992513, -1.53013, -1.5708, -2.51813]
[2.19445, -1.03284, 0.991996, -1.52995, -1.5708, -2.51794]
[2.19468, -1.03244, 0.991365, -1.52972, -1.5708, -2.51771]
[2.19496, -1.03196, 0.990618, -1.52946, -1.5708, -2.51743]
[2.19528, -1.0314, 0.989755, -1.52915, -1.5708, -2.51711]
[2.19564, -1.03078, 0.988776, -1.5288, -1.5708, -2.51675]
[2.19605, -1.03007, 0.98768, -1.5284, -1.5708, -2.51634]
[2.19649, -1.02929, 0.986467, -1.52797, -1.5708, -2.5159]
[2.19698, -1.02844, 0.985136, -1.52749, -1.5708, -2.51541]
[2.19751, -1.02751, 0.983687, -1.52697, -1.5708, -2.51488]
[2.19808, -1.02651, 0.982119, -1.52641, -1.5708, -2.51431]
[2.1987, -1.02543, 0.98043, -1.5258, -1.5708, -2.51369]
[2.19935, -1.02427, 0.978621, -1.52515, -1.5708, -2.51303]
[2.20005, -1.02303, 0.976691, -1.52445, -1.5708, -2.51234]
[2.20079, -1.02172, 0.974637, -1.52371, -1.5708, -2.5116]
[2.20157, -1.02033, 0.972461, -1.52292, -1.5708, -2.51082]
[2.20239, -1.01887, 0.970159, -1.52209, -1.5708, -2.50999]
[2.20326, -1.01732, 0.967732, -1.52121, -1.5708, -2.50913]
[2.20416, -1.01569, 0.965178, -1.52028, -1.5708, -2.50823]
[2.2051, -1.01399, 0.962496, -1.5193, -1.5708, -2.50728]
[2.20609, -1.0122, 0.959684, -1.51828, -1.5708, -2.5063]
[2.20711, -1.01033, 0.956741, -1.5172, -1.5708, -2.50528]
[2.20818, -1.00839, 0.953666, -1.51608, -1.5708, -2.50421]
[2.20928, -1.00635, 0.950456, -1.5149, -1.5708, -2.50311]
[2.21043, -1.00424, 0.94711, -1.51367, -1.5708, -2.50196]
[2.21161, -1.00204, 0.943626, -1.51239, -1.5708, -2.50078]
[2.21283, -0.999752, 0.940003, -1.51105, -1.5708, -2.49956]
[2.21409, -0.997381, 0.936238, -1.50965, -1.5708, -2.49829]
[2.21539, -0.994923, 0.932329, -1.5082, -1.5708, -2.49699]
[2.21673, -0.992377, 0.928275, -1.50669, -1.5708, -2.49566]
[2.21809, -0.98978, 0.924134, -1.50515, -1.5708, -2.4943]
[2.21944, -0.987174, 0.919971, -1.50359, -1.5708, -2.49295]
[2.22079, -0.984556, 0.915783, -1.50202, -1.5708, -2.4916]
[2.22214, -0.981927, 0.911571, -1.50044, -1.5708, -2.49025]
[2.22348, -0.979287, 0.907335, -1.49884, -1.5708, -2.48891]
[2.22482, -0.976635, 0.903075, -1.49724, -1.5708, -2.48757]
[2.22616, -0.973972, 0.898789, -1.49561, -1.5708, -2.48623]
[2.2275, -0.971297, 0.894477, -1.49398, -1.5708, -2.48489]
[2.22883, -0.968611, 0.89014, -1.49233, -1.5708, -2.48356]
[2.23016, -0.965912, 0.885777, -1.49066, -1.5708, -2.48223]
[2.23148, -0.963201, 0.881387, -1.48898, -1.5708, -2.48091]
[2.2328, -0.960478, 0.87697, -1.48729, -1.5708, -2.47959]
[2.23412, -0.957743, 0.872526, -1.48558, -1.5708, -2.47827]
[2.23544, -0.954994, 0.868055, -1.48386, -1.5708, -2.47695]
[2.23675, -0.952233, 0.863555, -1.48212, -1.5708, -2.47563]
[2.23806, -0.949458, 0.859027, -1.48036, -1.5708, -2.47432]
[2.23937, -0.94667, 0.85447, -1.4786, -1.5708, -2.47302]
[2.24068, -0.943869, 0.849883, -1.47681, -1.5708, -2.47171]
[2.24198, -0.941054, 0.845267, -1.47501, -1.5708, -2.47041]
[2.24328, -0.938224, 0.84062, -1.47319, -1.5708, -2.46911]
[2.24457, -0.935381, 0.835943, -1.47136, -1.5708, -2.46781]
[2.24587, -0.932523, 0.831234, -1.46951, -1.5708, -2.46652]
[2.24716, -0.92965, 0.826494, -1.46764, -1.5708, -2.46523]
[2.24845, -0.926763, 0.821721, -1.46575, -1.5708, -2.46394]
[2.24973, -0.92386, 0.816916, -1.46385, -1.5708, -2.46266]
[2.25101, -0.920942, 0.812077, -1.46193, -1.5708, -2.46138]
[2.25229, -0.918008, 0.807204, -1.45999, -1.5708, -2.4601]
[2.25357, -0.915058, 0.802297, -1.45804, -1.5708, -2.45882]
[2.25484, -0.912091, 0.797354, -1.45606, -1.5708, -2.45755]
[2.25611, -0.909108, 0.792375, -1.45406, -1.5708, -2.45628]
[2.25738, -0.906109, 0.787361, -1.45205, -1.5708, -2.45501]
[2.25864, -0.903091, 0.782308, -1.45001, -1.5708, -2.45375]
[2.2599, -0.900056, 0.777218, -1.44796, -1.5708, -2.45249]
[2.26114, -0.89705, 0.772168, -1.44591, -1.5708, -2.45125]
[2.26234, -0.894119, 0.767236, -1.44391, -1.5708, -2.45005]
[2.2635, -0.891265, 0.762427, -1.44196, -1.5708, -2.44889]
[2.26462, -0.888489, 0.757741, -1.44005, -1.5708, -2.44777]
[2.26569, -0.885793, 0.753183, -1.43819, -1.5708, -2.4467]
[2.26673, -0.883177, 0.748756, -1.43637, -1.5708, -2.44566]
[2.26773, -0.880643, 0.74446, -1.43461, -1.5708, -2.44466]
[2.26869, -0.878193, 0.740301, -1.4329, -1.5708, -2.4437]
[2.26961, -0.875827, 0.736279, -1.43125, -1.5708, -2.44278]
[2.27049, -0.873546, 0.732398, -1.42965, -1.5708, -2.4419]
[2.27133, -0.871352, 0.728661, -1.42811, -1.5708, -2.44106]
[2.27214, -0.869247, 0.725069, -1.42662, -1.5708, -2.44025]
[2.2729, -0.86723, 0.721626, -1.42519, -1.5708, -2.43949]
[2.27363, -0.865304, 0.718334, -1.42383, -1.5708, -2.43876]
[2.27432, -0.863469, 0.715195, -1.42252, -1.5708, -2.43807]
[2.27497, -0.861727, 0.712211, -1.42128, -1.5708, -2.43742]
[2.27558, -0.860078, 0.709385, -1.4201, -1.5708, -2.43681]
[2.27615, -0.858524, 0.706718, -1.41899, -1.5708, -2.43623]
[2.27669, -0.857066, 0.704214, -1.41794, -1.5708, -2.4357]
[2.27719, -0.855704, 0.701873, -1.41697, -1.5708, -2.4352]
[2.27765, -0.854439, 0.699698, -1.41606, -1.5708, -2.43474]
[2.27808, -0.853272, 0.697691, -1.41522, -1.5708, -2.43431]
[2.27847, -0.852204, 0.695852, -1.41444, -1.5708, -2.43392]
[2.27882, -0.851235, 0.694184, -1.41374, -1.5708, -2.43357]
[2.27913, -0.850367, 0.692687, -1.41312, -1.5708, -2.43326]
[2.27941, -0.8496, 0.691364, -1.41256, -1.5708, -2.43298]
[2.27965, -0.848933, 0.690215, -1.41208, -1.5708, -2.43274]
[2.27985, -0.848369, 0.689241, -1.41167, -1.5708, -2.43254]
[2.28001, -0.847906, 0.688443, -1.41133, -1.5708, -2.43238]
[2.28014, -0.847546, 0.687821, -1.41107, -1.5708, -2.43225]
[2.28023, -0.847289, 0.687377, -1.41088, -1.5708, -2.43215]
[2.28029, -0.847134, 0.68711, -1.41077, -1.5708, -2.4321]
[2.28031, -0.847083, 0.687021, -1.41073, -1.5708, -2.43208]
[2.28142, -0.844341, 0.682284, -1.40874, -1.5708, -2.43097]
[2.28258, -0.842, 0.678233, -1.40703, -1.5708, -2.42981]
[2.28348, -0.840552, 0.675724, -1.40597, -1.5708, -2.42891]
[2.28542, -0.838286, 0.671796, -1.40431, -1.5708, -2.42697]
[2.28639, -0.83757, 0.670554, -1.40378, -1.5708, -2.426]
[2.2885, -0.836893, 0.669379, -1.40328, -1.5708, -2.42389]
[2.28946, -0.837001, 0.669567, -1.40336, -1.5708, -2.42293]
[2.29142, -0.83809, 0.671457, -1.40416, -1.5708, -2.42097]
[2.29229, -0.839008, 0.673048, -1.40484, -1.5708, -2.4201]
[2.29326, -0.840464, 0.675572, -1.4059, -1.5708, -2.41913]
[2.29455, -0.84295, 0.679878, -1.40772, -1.5708, -2.41783]
[2.29457, -0.842995, 0.679955, -1.40776, -1.5708, -2.41782]
[2.29462, -0.843129, 0.680187, -1.40785, -1.5708, -2.41777]
